title,author,year,language,genre
Brave New World,Aldous Huxley,1932,en,dystopia
Classic Sci-Fi Anthology Vol. 5,Various,1959,en,science fiction
Sherlock Holmes Stories Vol. 3,Arthur Conan Doyle,1894,en,mystery
Romanian Short Stories Collection Vol. 6,Various,1965,ro,short stories
Grimm's Fairy Tales Selection Vol. 5,Jacob & Wilhelm Grimm,1812,en,children
World Poetry Sampler Vol. 10,Various,1957,en,poetry
Moromeții,Marin Preda,1955,ro,classic
Modern Fantasy Compendium Vol. 1,Various,1990,en,fantasy
Silmarillion,J. R. R. Tolkien,1977,en,fantasy
Modern Fantasy Compendium Vol. 4,Various,1993,en,fantasy
Folktales of Europe Vol. 1,Various,1950,en,folklore
The Wind-Up Bird Chronicle,Haruki Murakami,1994,en,magical realism
Poemele luminii,Lucian Blaga,1919,ro,poetry
Norwegian Wood,Haruki Murakami,1987,en,literary
For Whom the Bell Tolls,Ernest Hemingway,1940,en,classic
Folktales of Europe Vol. 4,Various,1956,en,folklore
Greek Myths Retold Vol. 2,Various,1972,en,mythology
Classic Sci-Fi Anthology Vol. 6,Various,1960,en,science fiction
The Stranger,Albert Camus,1942,en,existentialism
1984,George Orwell,1949,en,dystopia
Oryx and Crake,Margaret Atwood,2003,en,dystopia
Modern Fantasy Compendium Vol. 5,Various,1994,en,fantasy
Ulysses,James Joyce,1922,en,modernism
Orașul cu salcâmi,Mihail Sebastian,1935,ro,classic
The Hobbit,J. R. R. Tolkien,1937,en,fantasy
Grimm's Fairy Tales Selection Vol. 6,Jacob & Wilhelm Grimm,1812,en,children
The Angel's Game,Carlos Ruiz Zafón,2008,en,mystery
Detective Noir Chronicles Vol. 1,Various,1945,en,noir
Love in the Time of Cholera,Gabriel García Márquez,1985,en,magical realism
Romanian Short Stories Collection Vol. 7,Various,1966,ro,short stories
Romanian Short Stories Collection Vol. 3,Various,1962,ro,short stories
The Three-Body Problem,Liu Cixin,2006,en,science fiction
The Idiot,Fyodor Dostoevsky,1869,en,classic
De două mii de ani,Mihail Sebastian,1934,ro,classic
World Poetry Sampler Vol. 7,Various,1948,en,poetry
Detective Noir Chronicles Vol. 5,Various,1953,en,noir
The Book Thief,Markus Zusak,2005,en,historical
Detective Noir Chronicles Vol. 9,Various,1961,en,noir
Cyberpunk Case Files Vol. 4,Various,1988,en,cyberpunk
Crime and Punishment,Fyodor Dostoevsky,1866,en,classic
Folktales of Romania Vol. 5,Various,1958,ro,folklore
Greek Myths Retold Vol. 3,Various,1974,en,mythology
The Shadow of the Wind,Carlos Ruiz Zafón,2001,en,mystery
Don Quixote,Miguel de Cervantes,1605,en,classic
Classic Sci-Fi Anthology Vol. 1,Various,1955,en,science fiction
Classic Sci-Fi Anthology Vol. 7,Various,1961,en,science fiction
The Handmaid's Tale,Margaret Atwood,1985,en,dystopia
Povești,Ion Creangă,1877,ro,children
Detective Noir Chronicles Vol. 4,Various,1951,en,noir
Sherlock Holmes Stories Vol. 4,Arthur Conan Doyle,1895,en,mystery
Folktales of Europe Vol. 7,Various,1962,en,folklore
Sherlock Holmes Stories Vol. 7,Arthur Conan Doyle,1898,en,mystery
A Wizard of Earthsea,Ursula K. Le Guin,1968,en,fantasy
Folktales of Romania Vol. 2,Various,1952,ro,folklore
Folktales of Romania Vol. 3,Various,1954,ro,folklore
Folktales of Europe Vol. 6,Various,1960,en,folklore
Greek Myths Retold Vol. 7,Various,1982,en,mythology
Sherlock Holmes Stories Vol. 5,Arthur Conan Doyle,1896,en,mystery
Dubliners,James Joyce,1914,en,modernism
Greek Myths Retold Vol. 8,Various,1984,en,mythology
Cyberpunk Case Files Vol. 7,Various,1991,en,cyberpunk
A Farewell to Arms,Ernest Hemingway,1929,en,classic
Les Misérables,Victor Hugo,1862,en,classic
Luceafărul,Mihai Eminescu,1883,ro,poetry
Folktales of Europe Vol. 2,Various,1952,en,folklore
Sherlock Holmes Stories Vol. 6,Arthur Conan Doyle,1897,en,mystery
Greek Myths Retold Vol. 5,Various,1978,en,mythology
"Ultima noapte de dragoste, întâia noapte de război",Camil Petrescu,1930,ro,classic
The Brothers Karamazov,Fyodor Dostoevsky,1880,en,classic
Sherlock Holmes Stories Vol. 10,Arthur Conan Doyle,1901,en,mystery
Romanian Short Stories Collection Vol. 12,Various,1971,ro,short stories
Catching Fire,Suzanne Collins,2009,en,dystopia
The Picture of Dorian Gray,Oscar Wilde,1890,en,classic
Cyberpunk Case Files Vol. 1,Various,1985,en,cyberpunk
World Poetry Sampler Vol. 4,Various,1939,en,poetry
One Hundred Years of Solitude,Gabriel García Márquez,1967,en,magical realism
World Poetry Sampler Vol. 2,Various,1933,en,poetry
A Thousand Splendid Suns,Khaled Hosseini,2007,en,literary
Groapa,Eugen Barbu,1957,ro,classic
Romanian Short Stories Collection Vol. 2,Various,1961,ro,short stories
Sherlock Holmes Stories Vol. 12,Arthur Conan Doyle,1903,en,mystery
Frankenstein,Mary Shelley,1818,en,horror
Fahrenheit 451,Ray Bradbury,1953,en,dystopia
Romanian Short Stories Collection Vol. 5,Various,1964,ro,short stories
Life of Pi,Yann Martel,2001,en,adventure
Kafka on the Shore,Haruki Murakami,2002,en,magical realism
Modern Fantasy Compendium Vol. 2,Various,1991,en,fantasy
Greek Myths Retold Vol. 6,Various,1980,en,mythology
Animal Farm,George Orwell,1945,en,satire
The Dark Forest,Liu Cixin,2008,en,science fiction
Folktales of Europe Vol. 3,Various,1954,en,folklore
Grimm's Fairy Tales Selection Vol. 2,Jacob & Wilhelm Grimm,1812,en,children
Beloved,Toni Morrison,1987,en,historical
Cyberpunk Case Files Vol. 8,Various,1992,en,cyberpunk
Ciocoii vechi și noi,Nicolae Filimon,1863,ro,classic
Romanian Short Stories Collection Vol. 9,Various,1968,ro,short stories
Cyberpunk Case Files Vol. 3,Various,1987,en,cyberpunk
Sherlock Holmes Stories Vol. 8,Arthur Conan Doyle,1899,en,mystery
The Little Prince,Antoine de Saint-Exupéry,1943,en,children
The Left Hand of Darkness,Ursula K. Le Guin,1969,en,science fiction
On the Road,Jack Kerouac,1957,en,beat
Dracula,Bram Stoker,1897,en,horror
The Way of Kings,Brandon Sanderson,2010,en,fantasy
The Hunger Games,Suzanne Collins,2008,en,dystopia
The Castle,Franz Kafka,1926,en,modernism
A Storm of Swords,George R. R. Martin,2000,en,fantasy
Enigma Otiliei,George Călinescu,1938,ro,classic
Detective Noir Chronicles Vol. 3,Various,1949,en,noir
Modern Fantasy Compendium Vol. 7,Various,1996,en,fantasy
Go Set a Watchman,Harper Lee,2015,en,classic
Folktales of Romania Vol. 6,Various,1960,ro,folklore
Detective Noir Chronicles Vol. 6,Various,1955,en,noir
Blood Meridian,Cormac McCarthy,1985,en,western
Sense and Sensibility,Jane Austen,1811,en,classic
Folktales of Europe Vol. 8,Various,1964,en,folklore
The Martian Chronicles,Ray Bradbury,1950,en,science fiction
The Count of Monte Cristo,Alexandre Dumas,1844,en,adventure
Grimm's Fairy Tales Selection Vol. 7,Jacob & Wilhelm Grimm,1812,en,children
A Clash of Kings,George R. R. Martin,1998,en,fantasy
Romanian Short Stories Collection Vol. 8,Various,1967,ro,short stories
Romanian Short Stories Collection Vol. 10,Various,1969,ro,short stories
No Country for Old Men,Cormac McCarthy,2005,en,thriller
Grimm's Fairy Tales Selection Vol. 1,Jacob & Wilhelm Grimm,1812,en,children
The Dispossessed,Ursula K. Le Guin,1974,en,science fiction
Mockingjay,Suzanne Collins,2010,en,dystopia
Anna Karenina,Leo Tolstoy,1877,en,classic
Sherlock Holmes Stories Vol. 9,Arthur Conan Doyle,1900,en,mystery
Mara,Ioan Slavici,1894,ro,classic
Count Zero,William Gibson,1986,en,cyberpunk
The Catcher in the Rye,J. D. Salinger,1951,en,classic
Folktales of Romania Vol. 4,Various,1956,ro,folklore
The Wise Man's Fear,Patrick Rothfuss,2011,en,fantasy
A Game of Thrones,George R. R. Martin,1996,en,fantasy
To Kill a Mockingbird,Harper Lee,1960,en,classic
The Girl with the Dragon Tattoo,Stieg Larsson,2005,en,thriller
Folktales of Romania Vol. 8,Various,1964,ro,folklore
Modern Fantasy Compendium Vol. 9,Various,1998,en,fantasy
The Cyberiad,Stanislaw Lem,1965,en,science fiction
Folktales of Romania Vol. 7,Various,1962,ro,folklore
The Plague,Albert Camus,1947,en,existentialism
Detective Noir Chronicles Vol. 10,Various,1963,en,noir
The Name of the Wind,Patrick Rothfuss,2007,en,fantasy
Modern Fantasy Compendium Vol. 3,Various,1992,en,fantasy
Classic Sci-Fi Anthology Vol. 8,Various,1962,en,science fiction
The Trial,Franz Kafka,1925,en,modernism
Detective Noir Chronicles Vol. 2,Various,1947,en,noir
The Lord of the Rings,J. R. R. Tolkien,1954,en,fantasy
Invisible Man,Ralph Ellison,1952,en,classic
Grimm's Fairy Tales Selection Vol. 10,Jacob & Wilhelm Grimm,1812,en,children
Baltagul,Mihail Sadoveanu,1930,ro,classic
Wuthering Heights,Emily Brontë,1847,en,classic
Good Omens,Neil Gaiman & Terry Pratchett,1990,en,fantasy
Modern Fantasy Compendium Vol. 6,Various,1995,en,fantasy
Classic Sci-Fi Anthology Vol. 9,Various,1963,en,science fiction
Greek Myths Retold Vol. 4,Various,1976,en,mythology
World Poetry Sampler Vol. 3,Various,1936,en,poetry
The Three Musketeers,Alexandre Dumas,1844,en,adventure
Grimm's Fairy Tales Selection Vol. 3,Jacob & Wilhelm Grimm,1812,en,children
Cyberpunk Case Files Vol. 6,Various,1990,en,cyberpunk
Romanian Short Stories Collection Vol. 4,Various,1963,ro,short stories
Sherlock Holmes Stories Vol. 1,Arthur Conan Doyle,1892,en,mystery
Emma,Jane Austen,1815,en,classic
Jane Eyre,Charlotte Brontë,1847,en,classic
Foucault's Pendulum,Umberto Eco,1988,en,mystery
Foundation and Empire,Isaac Asimov,1952,en,science fiction
Second Foundation,Isaac Asimov,1953,en,science fiction
American Gods,Neil Gaiman,2001,en,fantasy
Romanian Short Stories Collection Vol. 1,Various,1960,ro,short stories
Baudolino,Umberto Eco,2000,en,historical
Sherlock Holmes Stories Vol. 11,Arthur Conan Doyle,1902,en,mystery
Cyberpunk Case Files Vol. 5,Various,1989,en,cyberpunk
Classic Sci-Fi Anthology Vol. 3,Various,1957,en,science fiction
The Great Gatsby,F. Scott Fitzgerald,1925,en,classic
World Poetry Sampler Vol. 8,Various,1951,en,poetry
The Master and Margarita,Mikhail Bulgakov,1967,en,satire
Pride and Prejudice,Jane Austen,1813,en,classic
Oliver Twist,Charles Dickens,1838,en,classic
Song of Solomon,Toni Morrison,1977,en,historical
World Poetry Sampler Vol. 9,Various,1954,en,poetry
Foundation,Isaac Asimov,1951,en,science fiction
Moby-Dick,Herman Melville,1851,en,classic
Greek Myths Retold Vol. 1,Various,1970,en,mythology
Literary Sampler 1,Various,1971,en,literary
Literary Sampler 2,Various,1972,en,literary
Literary Sampler 3,Various,1973,en,literary
Literary Sampler 4,Various,1974,en,literary
Literary Sampler 5,Various,1975,en,literary
Literary Sampler 6,Various,1976,en,literary
Literary Sampler 7,Various,1977,en,literary
Literary Sampler 8,Various,1978,en,literary
Literary Sampler 9,Various,1979,en,literary
Literary Sampler 10,Various,1980,en,literary
Literary Sampler 11,Various,1981,en,literary
Literary Sampler 12,Various,1982,en,literary
Literary Sampler 13,Various,1983,en,literary
Literary Sampler 14,Various,1984,en,literary
Literary Sampler 15,Various,1985,en,literary
Literary Sampler 16,Various,1986,en,literary
Literary Sampler 17,Various,1987,en,literary
Literary Sampler 18,Various,1988,en,literary
Literary Sampler 19,Various,1989,en,literary
Literary Sampler 20,Various,1990,en,literary
Literary Sampler 21,Various,1991,en,literary
Literary Sampler 22,Various,1992,en,literary
Literary Sampler 23,Various,1993,en,literary
